277713;1280056;585250;673134;2976657
74539;335443;169371;292478;1168195
48267;209487;80542;100059;480897
21974;106137;40813;85815;161597
169902;743304;388548;364892;1607761
33014;146940;63942;87436;393014
25113;119190;57064;79235;394086
8410;41615;16576;31197;163844
43799;171675;72890;91086;444326
74957;332440;135086;183509;838324
212715;1014032;551645;498714;2530833
36331;173729;72348;75009;374441
35909;179118;73659;71894;354253
8958;41196;17283;32429;142769
7439;30353;13203;28744;129207
55814;194990;67468;176675;543833
39888;164657;71824;166951;490417
11613;35541;20635;49052;175262
1597;8735;3014;8212;28563
5366;29231;11147;41090;87658
48929;216630;75092;216154;500897
58193;208430;92624;291110;493990
37410;154714;75809;252298;358866
66777;273367;152581;266346;677959
30872;128866;70337;93861;463589
39820;126985;56373;69048;339487
91413;381098;203937;236139;971834
22965;81292;38007;90229;312499
1376;5297;2968;8198;37535
452;2717;494;3730;16041
607;2481;636;3305;12847
1322;8934;3414;4666;24229
702;4582;2500;5765;25981
